a                              {6:0,0,0,1,2,4}
alphabetical                   {1:0}
an                             {2:0,2}
and                            {4:1,3,4,6}
appears                        {2:1,1}
arbitrary                      {1:2}
assume                         {1:5}
be                             {1:3}
can                            {1:3}
case                           {1:5}
choice                         {1:2}
citations                      {2:1,4}
concordance                    {3:0,2,4}
contains                       {1:6}
count                          {2:0,4}
document                       {1:3}
e.g                            {1:1}
each                           {3:0,1,4}
english                        {3:3,6,6}
file                           {1:4}
for                            {1:4}
from                           {1:3}
generate                       {1:2}
how                            {1:0}
in                             {6:0,1,2,3,4,5}
input                          {1:5}
is                             {1:0}
it                             {1:4}
language                       {1:2}
letters                        {1:6}
list                           {2:0,4}
marks                          {1:7}
may                            {1:5}
newlines                       {1:6}
number                         {2:1,5}
occurs                         {1:5}
of                             {6:0,0,1,2,2,4}
often                          {1:0}
only                           {1:6}
or                             {1:4}
output                         {1:3}
page                           {1:1}
present                        {1:0}
print                          {1:4}
program                        {2:1,3}
programming                    {1:2}
punctuation                    {1:6}
read                           {1:3}
sentence                       {1:5}
should                         {2:3,4}
sorted                         {1:4}
spaces                         {1:6}
standard                       {2:6,6}
stdin                          {1:3}
stdout                         {1:4}
text                           {4:0,1,2,3}
that                           {3:2,5,5}
the                            {10:0,1,2,3,3,3,4,4,5,5}
this                           {1:5}
to                             {1:4}
where                          {1:1}
which                          {1:5}
will                           {1:2}
with                           {1:0}
word                           {4:1,1,4,5}
words                          {1:0}
write                          {1:1}
written                        {1:3}
you                            {1:5}
your                           {1:2}
zero-indexed                   {1:5}
